epoch,accuracy,loss,val_accuracy,val_loss
0,0.8181818127632141,0.3915655016899109,0.875,0.19975771009922028
1,0.9431818127632141,0.17569269239902496,1.0,0.05458942800760269
2,0.9829545617103577,0.09683344513177872,1.0,0.03673825412988663
3,0.9772727489471436,0.08714383095502853,1.0,0.06327547878026962
4,0.9886363744735718,0.06459831446409225,1.0,0.04659906029701233
5,0.9886363744735718,0.07234254479408264,1.0,0.036333248019218445
6,0.9886363744735718,0.04653122276067734,1.0,0.03987828642129898
7,1.0,0.04083702340722084,1.0,0.028674867004156113
8,0.9943181872367859,0.040474262088537216,1.0,0.04136253148317337
9,1.0,0.03577793762087822,1.0,0.02775360271334648
10,1.0,0.031500715762376785,1.0,0.04634333401918411
11,1.0,0.025129886344075203,0.9375,0.07569488883018494
12,1.0,0.022817321121692657,1.0,0.053229864686727524
13,1.0,0.021786924451589584,1.0,0.057198524475097656
14,1.0,0.021185552701354027,1.0,0.057759840041399
15,1.0,0.02029372565448284,1.0,0.05017443746328354
16,1.0,0.020095765590667725,1.0,0.046883419156074524
17,1.0,0.019584842026233673,1.0,0.050152383744716644
18,1.0,0.019096750766038895,1.0,0.04457651823759079
19,1.0,0.018837083131074905,1.0,0.04613213241100311
20,1.0,0.01840556412935257,1.0,0.04444548115134239
21,1.0,0.018205584958195686,1.0,0.017249584197998047
22,1.0,0.01782379299402237,1.0,0.03967554494738579
23,1.0,0.017367107793688774,1.0,0.03774075210094452
24,1.0,0.017142413184046745,1.0,0.04743275046348572
25,1.0,0.016885582357645035,1.0,0.01585780829191208
26,1.0,0.01669301837682724,1.0,0.038959186524152756
27,1.0,0.01617523469030857,1.0,0.034033335745334625
28,1.0,0.01593935675919056,1.0,0.015648234635591507
29,1.0,0.015748053789138794,1.0,0.03543844074010849
